Date,Download,Total,Monthly
2018-11-10T09:00:00,34,14724,34
2018-11-11T09:00:00,59,14783,93
2018-11-12T09:00:00,27,14810,120
2018-11-13T09:00:00,20,14830,140
2018-11-14T09:00:00,26,14856,166
2018-11-15T09:00:00,27,14883,193
2018-11-16T09:00:00,40,14923,233
2018-11-17T09:00:00,37,14960,270
2018-11-18T09:00:00,67,15027,337
2018-11-19T09:00:00,42,15069,379
2018-11-20T09:00:00,34,15103,413
2018-11-21T09:00:00,33,15136,446
2018-11-22T09:00:00,45,15181,491
2018-11-23T09:00:00,28,15209,519
2018-11-24T09:00:00,52,15261,571
2018-11-25T09:00:00,30,15291,601
2018-11-26T09:00:00,59,15350,660
2018-11-27T09:00:00,37,15387,697
2018-11-28T09:00:00,60,15447,757
2018-11-29T09:00:00,49,15496,806
2018-11-30T09:00:00,76,15572,882
