Date,Download,Total,Monthly
2019-05-01T09:00:00,49,27218,49
2019-05-02T09:00:00,77,27295,126
2019-05-03T09:00:00,62,27357,188
2019-05-04T09:00:00,68,27425,256
2019-05-05T09:00:00,56,27481,312
2019-05-06T09:00:00,62,27543,374
2019-05-07T09:00:00,52,27595,426
2019-05-08T09:00:00,76,27671,502
2019-05-09T09:00:00,76,27747,578
2019-05-10T09:00:00,58,27805,636
2019-05-11T09:00:00,76,27881,712
2019-05-12T09:00:00,100,27981,812
2019-05-13T09:00:00,63,28044,875
2019-05-14T09:00:00,56,28100,931
2019-05-15T09:00:00,72,28172,1003
2019-05-16T09:00:00,64,28236,1067
2019-05-17T09:00:00,71,28307,1138
2019-05-18T09:00:00,95,28402,1233
2019-05-19T09:00:00,67,28469,1300
2019-05-20T09:00:00,54,28523,1354
2019-05-21T09:00:00,67,28590,1421
2019-05-22T09:00:00,92,28682,1513
2019-05-23T09:00:00,66,28748,1579
2019-05-24T09:00:00,72,28820,1651
2019-05-25T09:00:00,79,28899,1730
2019-05-26T09:00:00,133,29032,1863
2019-05-27T09:00:00,88,29120,1951
2019-05-28T09:00:00,133,29253,2084
2019-05-29T09:00:00,139,29392,2223
2019-05-30T09:00:00,100,29492,2323
2019-05-31T09:00:00,82,29574,2405
