Date,Download,Total,Monthly
2019-08-01T09:00:00,200,38225,200
2019-08-02T09:00:00,170,38395,370
2019-08-03T09:00:00,241,38636,611
2019-08-04T09:00:00,212,38848,823
2019-08-05T09:00:00,211,39059,1034
2019-08-06T09:00:00,238,39297,1272
2019-08-07T09:00:00,178,39475,1450
2019-08-08T09:00:00,157,39632,1607
2019-08-09T09:00:00,187,39819,1794
2019-08-10T09:00:00,180,39999,1974
2019-08-11T09:00:00,150,40149,2124
2019-08-12T09:00:00,177,40326,2301
2019-08-13T09:00:00,185,40511,2486
2019-08-14T09:00:00,195,40706,2681
2019-08-15T09:00:00,209,40915,2890
2019-08-16T09:00:00,165,41080,3055
2019-08-17T09:00:00,176,41256,3231
2019-08-18T09:00:00,218,41474,3449
2019-08-19T09:00:00,137,41611,3586
2019-08-20T09:00:00,159,41770,3745
2019-08-21T09:00:00,153,41923,3898
2019-08-22T09:00:00,166,42089,4064
2019-08-23T09:00:00,161,42250,4225
2019-08-24T09:00:00,227,42477,4452
2019-08-25T09:00:00,205,42682,4657
2019-08-26T09:00:00,209,42891,4866
2019-08-27T09:00:00,140,43031,5006
2019-08-28T09:00:00,160,43191,5166
2019-08-29T09:00:00,128,43319,5294
2019-08-30T09:00:00,139,43458,5433
2019-08-31T09:00:00,231,43689,5664
