Date,Download,Total,Monthly
2019-10-01T09:00:00,370,52511,370
2019-10-02T09:00:00,349,52860,719
2019-10-03T09:00:00,1297,54157,2016
2019-10-04T09:00:00,749,54906,2765
2019-10-05T09:00:00,578,55484,3343
2019-10-06T09:00:00,523,56007,3866
2019-10-07T09:00:00,466,56473,4332
2019-10-08T09:00:00,752,57225,5084
2019-10-09T09:00:00,574,57799,5658
2019-10-10T09:00:00,467,58266,6125
2019-10-11T09:00:00,506,58772,6631
2019-10-12T09:00:00,687,59459,7318
2019-10-13T09:00:00,686,60145,8004
2019-10-14T09:00:00,459,60604,8463
2019-10-15T09:00:00,365,60969,8828
2019-10-16T09:00:00,383,61352,9211
2019-10-17T09:00:00,454,61806,9665
2019-10-18T09:00:00,428,62234,10093
2019-10-19T09:00:00,603,62837,10696
2019-10-20T09:00:00,591,63428,11287
2019-10-21T09:00:00,386,63814,11673
2019-10-22T09:00:00,442,64256,12115
2019-10-23T09:00:00,414,64670,12529
2019-10-24T09:00:00,406,65076,12935
2019-10-25T09:00:00,369,65445,13304
2019-10-26T09:00:00,450,65895,13754
2019-10-27T09:00:00,536,66431,14290
2019-10-28T09:00:00,398,66829,14688
2019-10-29T09:00:00,319,67148,15007
2019-10-30T09:00:00,391,67539,15398
2019-10-31T09:00:00,408,67947,15806
