Date,Download,Total,Monthly
2020-01-01T09:00:00,1188,102009,1188
2020-01-02T09:00:00,1138,103147,2326
2020-01-03T09:00:00,1035,104182,3361
2020-01-04T09:00:00,1165,105347,4526
2020-01-05T09:00:00,1187,106534,5713
2020-01-06T09:00:00,1096,107630,6809
2020-01-07T09:00:00,1140,108770,7949
2020-01-08T09:00:00,894,109664,8843
2020-01-09T09:00:00,781,110445,9624
2020-01-10T09:00:00,781,111226,10405
2020-01-11T09:00:00,1022,112248,11427
2020-01-12T09:00:00,947,113195,12374
2020-01-13T09:00:00,795,113990,13169
2020-01-14T09:00:00,783,114773,13952
2020-01-15T09:00:00,1003,115776,14955
2020-01-16T09:00:00,992,116768,15947
2020-01-17T09:00:00,952,117720,16899
2020-01-18T09:00:00,1262,118982,18161
2020-01-19T09:00:00,1259,120241,19420
2020-01-20T09:00:00,1474,121715,20894
2020-01-21T09:00:00,1453,123168,22347
2020-01-22T09:00:00,1390,124558,23737
2020-01-23T09:00:00,1099,125657,24836
2020-01-24T09:00:00,1209,126866,26045
2020-01-25T09:00:00,2244,129110,28289
2020-01-26T09:00:00,1939,131049,30228
2020-01-27T09:00:00,1207,132256,31435
2020-01-28T09:00:00,1340,133596,32775
2020-01-29T09:00:00,981,134577,33756
2020-01-30T09:00:00,1135,135712,34891
2020-01-31T09:00:00,1271,136983,36162
