Date,Download,Total,Monthly
2018-12-01T09:00:00,327,9759,327
2018-12-02T09:00:00,198,9957,525
2018-12-03T09:00:00,84,10041,609
2018-12-04T09:00:00,116,10157,725
2018-12-05T09:00:00,97,10254,822
2018-12-06T09:00:00,120,10374,942
2018-12-07T09:00:00,369,10743,1311
2018-12-08T09:00:00,251,10994,1562
2018-12-09T09:00:00,232,11226,1794
2018-12-10T09:00:00,218,11444,2012
2018-12-11T09:00:00,141,11585,2153
2018-12-12T09:00:00,233,11818,2386
2018-12-13T09:00:00,210,12028,2596
2018-12-14T09:00:00,226,12254,2822
2018-12-15T09:00:00,424,12678,3246
2018-12-16T09:00:00,494,13172,3740
2018-12-17T09:00:00,628,13800,4368
2018-12-18T09:00:00,461,14261,4829
2018-12-19T09:00:00,365,14626,5194
2018-12-20T09:00:00,256,14882,5450
2018-12-21T09:00:00,293,15175,5743
2018-12-22T09:00:00,254,15429,5997
2018-12-23T09:00:00,197,15626,6194
2018-12-24T09:00:00,539,16165,6733
2018-12-25T09:00:00,305,16470,7038
2018-12-26T09:00:00,270,16740,7308
2018-12-27T09:00:00,255,16995,7563
2018-12-28T09:00:00,507,17502,8070
2018-12-29T09:00:00,510,18012,8580
2018-12-30T09:00:00,344,18356,8924
2018-12-31T09:00:00,359,18715,9283
