Date,Download,Total,Monthly
2019-02-01T09:00:00,440,37428,440
2019-02-02T09:00:00,1109,38537,1549
2019-02-03T09:00:00,750,39287,2299
2019-02-04T09:00:00,457,39744,2756
2019-02-05T09:00:00,400,40144,3156
2019-02-06T09:00:00,350,40494,3506
2019-02-07T09:00:00,277,40771,3783
2019-02-08T09:00:00,350,41121,4133
2019-02-09T09:00:00,947,42068,5080
2019-02-10T09:00:00,985,43053,6065
2019-02-11T09:00:00,464,43517,6529
2019-02-12T09:00:00,428,43945,6957
2019-02-13T09:00:00,388,44333,7345
2019-02-14T09:00:00,292,44625,7637
2019-02-15T09:00:00,361,44986,7998
2019-02-16T09:00:00,903,45889,8901
2019-02-17T09:00:00,999,46888,9900
2019-02-18T09:00:00,615,47503,10515
2019-02-19T09:00:00,485,47988,11000
2019-02-20T09:00:00,420,48408,11420
2019-02-21T09:00:00,358,48766,11778
2019-02-22T09:00:00,380,49146,12158
2019-02-23T09:00:00,623,49769,12781
2019-02-24T09:00:00,577,50346,13358
2019-02-25T09:00:00,353,50699,13711
2019-02-26T09:00:00,357,51056,14068
2019-02-27T09:00:00,326,51382,14394
2019-02-28T09:00:00,359,51741,14753
