Date,Download,Total,Monthly
2019-06-01T09:00:00,1180,113972,1180
2019-06-02T09:00:00,935,114907,2115
2019-06-03T09:00:00,789,115696,2904
2019-06-04T09:00:00,767,116463,3671
2019-06-05T09:00:00,748,117211,4419
2019-06-06T09:00:00,788,117999,5207
2019-06-07T09:00:00,1322,119321,6529
2019-06-08T09:00:00,1254,120575,7783
2019-06-09T09:00:00,1081,121656,8864
2019-06-10T09:00:00,816,122472,9680
2019-06-11T09:00:00,794,123266,10474
2019-06-12T09:00:00,813,124079,11287
2019-06-13T09:00:00,649,124728,11936
2019-06-14T09:00:00,687,125415,12623
2019-06-15T09:00:00,903,126318,13526
2019-06-16T09:00:00,808,127126,14334
2019-06-17T09:00:00,749,127875,15083
2019-06-18T09:00:00,763,128638,15846
2019-06-19T09:00:00,625,129263,16471
2019-06-20T09:00:00,631,129894,17102
2019-06-21T09:00:00,1246,131140,18348
2019-06-22T09:00:00,1562,132702,19910
2019-06-23T09:00:00,1366,134068,21276
2019-06-24T09:00:00,1102,135170,22378
2019-06-25T09:00:00,1066,136236,23444
2019-06-26T09:00:00,859,137095,24303
2019-06-27T09:00:00,800,137895,25103
2019-06-28T09:00:00,1018,138913,26121
2019-06-29T09:00:00,1670,140583,27791
2019-06-30T09:00:00,1456,142039,29247
