Date,Download,Total,Monthly
2020-01-01T09:00:00,4844,766889,4844
2020-01-02T09:00:00,4495,771384,9339
2020-01-03T09:00:00,4549,775933,13888
2020-01-04T09:00:00,4673,780606,18561
2020-01-05T09:00:00,4549,785155,23110
2020-01-06T09:00:00,3828,788983,26938
2020-01-07T09:00:00,3459,792442,30397
2020-01-08T09:00:00,3264,795706,33661
2020-01-09T09:00:00,3224,798930,36885
2020-01-10T09:00:00,3270,802200,40155
2020-01-11T09:00:00,4459,806659,44614
2020-01-12T09:00:00,4442,811101,49056
2020-01-13T09:00:00,3120,814221,52176
2020-01-14T09:00:00,3016,817237,55192
2020-01-15T09:00:00,3483,820720,58675
2020-01-16T09:00:00,3031,823751,61706
2020-01-17T09:00:00,3679,827430,65385
2020-01-18T09:00:00,7256,834686,72641
2020-01-19T09:00:00,6616,841302,79257
2020-01-20T09:00:00,5701,847003,84958
2020-01-21T09:00:00,4185,851188,89143
2020-01-22T09:00:00,3585,854773,92728
2020-01-23T09:00:00,3399,858172,96127
2020-01-24T09:00:00,3516,861688,99643
2020-01-25T09:00:00,5127,866815,104770
2020-01-26T09:00:00,5784,872599,110554
2020-01-27T09:00:00,4520,877119,115074
2020-01-28T09:00:00,3719,880838,118793
2020-01-29T09:00:00,3143,883981,121936
2020-01-30T09:00:00,2960,886941,124896
2020-01-31T09:00:00,3316,890257,128212
