Date,Download,Total,Monthly
2020-05-01T09:00:00,3472,1283558,3472
2020-05-02T09:00:00,4710,1288268,8182
2020-05-03T09:00:00,4425,1292693,12607
2020-05-04T09:00:00,4243,1296936,16850
2020-05-05T09:00:00,4311,1301247,21161
2020-05-06T09:00:00,4168,1305415,25329
2020-05-07T09:00:00,3732,1309147,29061
2020-05-08T09:00:00,3762,1312909,32823
2020-05-09T09:00:00,3779,1316688,36602
2020-05-10T09:00:00,3570,1320258,40172
2020-05-11T09:00:00,3387,1323645,43559
2020-05-12T09:00:00,3203,1326848,46762
2020-05-13T09:00:00,3003,1329851,49765
2020-05-14T09:00:00,3228,1333079,52993
2020-05-15T09:00:00,2985,1336064,55978
2020-05-16T09:00:00,4181,1340245,60159
2020-05-17T09:00:00,3847,1344092,64006
2020-05-18T09:00:00,3354,1347446,67360
2020-05-19T09:00:00,2878,1350324,70238
2020-05-20T09:00:00,2484,1352808,72722
2020-05-21T09:00:00,2355,1355163,75077
2020-05-22T09:00:00,2377,1357540,77454
2020-05-23T09:00:00,2498,1360038,79952
2020-05-24T09:00:00,2669,1362707,82621
2020-05-25T09:00:00,2571,1365278,85192
2020-05-26T09:00:00,2338,1367616,87530
2020-05-27T09:00:00,2358,1369974,89888
2020-05-28T09:00:00,2405,1372379,92293
2020-05-29T09:00:00,2394,1374773,94687
2020-05-30T09:00:00,2488,1377261,97175
2020-05-31T09:00:00,2314,1379575,99489
