Date,Download,Total,Monthly
2020-08-01T09:00:00,2456,1483203,2456
2020-08-02T09:00:00,2895,1486098,5351
2020-08-03T09:00:00,2655,1488753,8006
2020-08-04T09:00:00,2460,1491213,10466
2020-08-05T09:00:00,2525,1493738,12991
2020-08-06T09:00:00,2843,1496581,15834
2020-08-07T09:00:00,2517,1499098,18351
2020-08-08T09:00:00,2528,1501626,20879
2020-08-09T09:00:00,2653,1504279,23532
2020-08-10T09:00:00,1372,1505651,24904
2020-08-11T09:00:00,985,1506636,25889
2020-08-12T09:00:00,2226,1508862,28115
2020-08-13T09:00:00,3144,1512006,31259
2020-08-14T09:00:00,2736,1514742,33995
2020-08-15T09:00:00,3488,1518230,37483
2020-08-16T09:00:00,3072,1521302,40555
2020-08-17T09:00:00,2410,1523712,42965
2020-08-18T09:00:00,2299,1526011,45264
2020-08-19T09:00:00,2530,1528541,47794
2020-08-20T09:00:00,2862,1531403,50656
2020-08-21T09:00:00,3280,1534683,53936
2020-08-22T09:00:00,2973,1537656,56909
2020-08-23T09:00:00,2892,1540548,59801
2020-08-24T09:00:00,2333,1542881,62134
2020-08-25T09:00:00,2247,1545128,64381
2020-08-26T09:00:00,2928,1548056,67309
2020-08-27T09:00:00,2272,1550328,69581
2020-08-28T09:00:00,2283,1552611,71864
2020-08-29T09:00:00,2458,1555069,74322
2020-08-30T09:00:00,2681,1557750,77003
2020-08-31T09:00:00,2026,1559776,79029
