Date,Download,Total,Monthly
2019-10-01T09:00:00,1345,87461,1345
2019-10-02T09:00:00,1276,88737,2621
2019-10-03T09:00:00,4627,93364,7248
2019-10-04T09:00:00,3195,96559,10443
2019-10-05T09:00:00,2690,99249,13133
2019-10-06T09:00:00,2021,101270,15154
2019-10-07T09:00:00,2186,103456,17340
2019-10-08T09:00:00,3648,107104,20988
2019-10-09T09:00:00,2068,109172,23056
2019-10-10T09:00:00,2038,111210,25094
2019-10-11T09:00:00,2147,113357,27241
2019-10-12T09:00:00,2853,116210,30094
2019-10-13T09:00:00,3276,119486,33370
2019-10-14T09:00:00,2155,121641,35525
2019-10-15T09:00:00,1648,123289,37173
2019-10-16T09:00:00,1457,124746,38630
2019-10-17T09:00:00,1342,126088,39972
2019-10-18T09:00:00,1540,127628,41512
2019-10-19T09:00:00,2091,129719,43603
2019-10-20T09:00:00,2266,131985,45869
2019-10-21T09:00:00,1840,133825,47709
2019-10-22T09:00:00,1812,135637,49521
2019-10-23T09:00:00,1514,137151,51035
2019-10-24T09:00:00,1469,138620,52504
2019-10-25T09:00:00,1391,140011,53895
2019-10-26T09:00:00,1946,141957,55841
2019-10-27T09:00:00,1868,143825,57709
2019-10-28T09:00:00,1314,145139,59023
2019-10-29T09:00:00,1130,146269,60153
2019-10-30T09:00:00,1006,147275,61159
2019-10-31T09:00:00,1072,148347,62231
