Date,Download,Total,Monthly
2019-11-01T09:00:00,1213,145763,1213
2019-11-02T09:00:00,1485,147248,2698
2019-11-03T09:00:00,1438,148686,4136
2019-11-04T09:00:00,981,149667,5117
2019-11-05T09:00:00,1024,150691,6141
2019-11-06T09:00:00,965,151656,7106
2019-11-07T09:00:00,906,152562,8012
2019-11-08T09:00:00,1027,153589,9039
2019-11-09T09:00:00,1469,155058,10508
2019-11-10T09:00:00,1503,156561,12011
2019-11-11T09:00:00,910,157471,12921
2019-11-12T09:00:00,737,158208,13658
2019-11-13T09:00:00,648,158856,14306
2019-11-14T09:00:00,658,159514,14964
2019-11-15T09:00:00,719,160233,15683
2019-11-16T09:00:00,1022,161255,16705
2019-11-17T09:00:00,927,162182,17632
2019-11-18T09:00:00,656,162838,18288
2019-11-19T09:00:00,663,163501,18951
2019-11-20T09:00:00,612,164113,19563
2019-11-21T09:00:00,657,164770,20220
2019-11-22T09:00:00,762,165532,20982
2019-11-23T09:00:00,944,166476,21926
2019-11-24T09:00:00,976,167452,22902
2019-11-25T09:00:00,399,167851,23301
2019-11-26T09:00:00,652,168503,23953
2019-11-27T09:00:00,637,169140,24590
2019-11-28T09:00:00,602,169742,25192
2019-11-29T09:00:00,648,170390,25840
2019-11-30T09:00:00,839,171229,26679
