Date,Download,Total,Monthly
2020-01-01T09:00:00,2691,227773,2691
2020-01-02T09:00:00,2608,230381,5299
2020-01-03T09:00:00,2638,233019,7937
2020-01-04T09:00:00,2614,235633,10551
2020-01-05T09:00:00,2519,238152,13070
2020-01-06T09:00:00,2296,240448,15366
2020-01-07T09:00:00,2143,242591,17509
2020-01-08T09:00:00,1894,244485,19403
2020-01-09T09:00:00,1872,246357,21275
2020-01-10T09:00:00,1792,248149,23067
2020-01-11T09:00:00,2522,250671,25589
2020-01-12T09:00:00,2557,253228,28146
2020-01-13T09:00:00,1892,255120,30038
2020-01-14T09:00:00,1799,256919,31837
2020-01-15T09:00:00,2366,259285,34203
2020-01-16T09:00:00,1978,261263,36181
2020-01-17T09:00:00,2378,263641,38559
2020-01-18T09:00:00,2995,266636,41554
2020-01-19T09:00:00,2830,269466,44384
2020-01-20T09:00:00,2686,272152,47070
2020-01-21T09:00:00,2320,274472,49390
2020-01-22T09:00:00,2296,276768,51686
2020-01-23T09:00:00,2012,278780,53698
2020-01-24T09:00:00,2109,280889,55807
2020-01-25T09:00:00,3591,284480,59398
2020-01-26T09:00:00,3244,287724,62642
2020-01-27T09:00:00,2136,289860,64778
2020-01-28T09:00:00,2198,292058,66976
2020-01-29T09:00:00,1813,293871,68789
2020-01-30T09:00:00,1886,295757,70675
2020-01-31T09:00:00,2218,297975,72893
