Date,Download,Total,Monthly
2020-02-01T09:00:00,2731,300706,2731
2020-02-02T09:00:00,2607,303313,5338
2020-02-03T09:00:00,1840,305153,7178
2020-02-04T09:00:00,1958,307111,9136
2020-02-05T09:00:00,2026,309137,11162
2020-02-06T09:00:00,2002,311139,13164
2020-02-07T09:00:00,2440,313579,15604
2020-02-08T09:00:00,3115,316694,18719
2020-02-09T09:00:00,3617,320311,22336
2020-02-10T09:00:00,2653,322964,24989
2020-02-11T09:00:00,2843,325807,27832
2020-02-12T09:00:00,3099,328906,30931
2020-02-13T09:00:00,3064,331970,33995
2020-02-14T09:00:00,2946,334916,36941
2020-02-15T09:00:00,3901,338817,40842
2020-02-16T09:00:00,4506,343323,45348
2020-02-17T09:00:00,3721,347044,49069
2020-02-18T09:00:00,2864,349908,51933
2020-02-19T09:00:00,2770,352678,54703
2020-02-20T09:00:00,2851,355529,57554
2020-02-21T09:00:00,3431,358960,60985
2020-02-22T09:00:00,5045,364005,66030
2020-02-23T09:00:00,4872,368877,70902
2020-02-24T09:00:00,4058,372935,74960
2020-02-25T09:00:00,3499,376434,78459
2020-02-26T09:00:00,3351,379785,81810
2020-02-27T09:00:00,3403,383188,85213
2020-02-28T09:00:00,3288,386476,88501
2020-02-29T09:00:00,4277,390753,92778
