Date,Download,Total,Monthly
2020-05-01T09:00:00,6142,755255,6142
2020-05-02T09:00:00,5774,761029,11916
2020-05-03T09:00:00,5528,766557,17444
2020-05-04T09:00:00,4874,771431,22318
2020-05-05T09:00:00,5470,776901,27788
2020-05-06T09:00:00,5714,782615,33502
2020-05-07T09:00:00,4928,787543,38430
2020-05-08T09:00:00,5132,792675,43562
2020-05-09T09:00:00,5104,797779,48666
2020-05-10T09:00:00,6865,804644,55531
2020-05-11T09:00:00,6700,811344,62231
2020-05-12T09:00:00,7280,818624,69511
2020-05-13T09:00:00,4900,823524,74411
2020-05-14T09:00:00,4519,828043,78930
2020-05-15T09:00:00,5658,833701,84588
2020-05-16T09:00:00,4350,838051,88938
2020-05-17T09:00:00,4536,842587,93474
2020-05-18T09:00:00,4901,847488,98375
2020-05-19T09:00:00,7767,855255,106142
2020-05-20T09:00:00,5655,860910,111797
2020-05-21T09:00:00,4373,865283,116170
2020-05-22T09:00:00,3388,868671,119558
2020-05-23T09:00:00,3561,872232,123119
2020-05-24T09:00:00,3721,875953,126840
2020-05-25T09:00:00,4405,880358,131245
2020-05-26T09:00:00,3423,883781,134668
2020-05-27T09:00:00,4605,888386,139273
2020-05-28T09:00:00,4419,892805,143692
2020-05-29T09:00:00,3314,896119,147006
2020-05-30T09:00:00,3431,899550,150437
2020-05-31T09:00:00,3321,902871,153758
