Date,Download,Total,Monthly
2020-10-01T09:00:00,1658,1245210,1658
2020-10-02T09:00:00,1883,1247093,3541
2020-10-03T09:00:00,2595,1249688,6136
2020-10-04T09:00:00,3018,1252706,9154
2020-10-05T09:00:00,2406,1255112,11560
2020-10-06T09:00:00,2210,1257322,13770
2020-10-07T09:00:00,2191,1259513,15961
2020-10-08T09:00:00,1175,1260688,17136
2020-10-09T09:00:00,1151,1261839,18287
2020-10-10T09:00:00,1477,1263316,19764
2020-10-11T09:00:00,1506,1264822,21270
2020-10-12T09:00:00,1299,1266121,22569
2020-10-13T09:00:00,1071,1267192,23640
2020-10-14T09:00:00,875,1268067,24515
2020-10-15T09:00:00,1065,1269132,25580
2020-10-16T09:00:00,1161,1270293,26741
2020-10-17T09:00:00,1337,1271630,28078
2020-10-18T09:00:00,1366,1272996,29444
2020-10-19T09:00:00,1243,1274239,30687
2020-10-20T09:00:00,2799,1277038,33486
2020-10-21T09:00:00,4110,1281148,37596
2020-10-22T09:00:00,3595,1284743,41191
2020-10-23T09:00:00,4651,1289394,45842
2020-10-24T09:00:00,5385,1294779,51227
2020-10-25T09:00:00,4937,1299716,56164
2020-10-26T09:00:00,3838,1303554,60002
2020-10-27T09:00:00,3835,1307389,63837
2020-10-28T09:00:00,4322,1311711,68159
2020-10-29T09:00:00,4610,1316321,72769
2020-10-30T09:00:00,3974,1320295,76743
2020-10-31T09:00:00,4591,1324886,81334
